GeoType,NTAType,GeogName,GeoID,Borough,Pop_1E_TotalPop,MdHHIncE,MdEarningperWrkE,Hsp1E,Hsp1P-Hispanic,WtNHE,WtNHPWhite,BlNHE,BlNHP-Black,AIANNHE,AIANNHP-Am-Ind,AsnNHE,AsnNHP-Asian,NHPINHE,NHPINHP-NatHawaii-Pac-Is,OthNHE,OthNHP-Other,Rc2plNHE,Rc2plNHP-2more,EA_Pop25olderplE,EA_HScGrdE,EA_HScGrdP,EA_BchDHE,EA_BachandHigherDHP
NTA2020,0,Pomonok-Electchester-Hillcrest,QN0802,Queens,"36,510",64387,"33,856","10,407",28.5,"10,192",27.9,"4,466",12.2,71,0.2,"9,979",27.3,21,0.1,156,0.4,"1,218",3.3,"24,093","5,728",23.8,"8,386",34.8
NTA2020,0,Fresh Meadows-Utopia,QN0803,Queens,"22,124",89567,"49,060","2,237",10.1,"6,467",29.2,"1,574",7.1,0,,"11,203",50.6,0,,63,0.3,580,2.6,"15,846","3,231",20.4,"7,539",47.6
NTA2020,0,Jamaica Estates-Holliswood,QN0804,Queens,"25,084",74294,"45,439","3,567",14.2,"6,546",26.1,"6,419",25.6,111,0.4,"7,233",28.8,0,,371,1.5,837,3.3,"17,811","3,604",20.2,"8,237",46.2
NTA2020,0,Jamaica Hills-Briarwood,QN0805,Queens,"41,024",74446,"43,150","9,117",22.2,"7,824",19.1,"5,957",14.5,74,0.2,"14,772",36,0,,"1,640",4,"1,640",4,"29,400","5,856",19.9,"12,257",41.7
NTA2020,0,Kew Gardens,QN0901,Queens,"24,167",83841,"54,942","5,959",24.7,"11,045",45.7,"1,560",6.5,149,0.6,"4,457",18.4,10,0,248,1,739,3.1,"18,053","3,249",18,"8,805",48.8
NTA2020,0,Richmond Hill,QN0902,Queens,"35,842",74591,"35,757","14,888",41.5,"5,400",15.1,"2,814",7.9,313,0.9,"9,237",25.8,0,,"1,126",3.1,"2,064",5.8,"24,876","7,429",29.9,"7,233",29.1
NTA2020,0,South Richmond Hill,QN0903,Queens,"23,436",74631,"34,300","5,324",22.7,758,3.2,"2,916",12.4,153,0.7,"9,411",40.2,35,0.1,"3,956",16.9,883,3.8,"16,918","5,259",31.1,"3,891",23
NTA2020,0,Ozone Park (North),QN0904,Queens,"26,450",76546,"34,964","11,862",44.8,"3,598",13.6,"1,010",3.8,0,,"8,748",33.1,0,,213,0.8,"1,019",3.9,"17,951","5,657",31.5,"4,232",23.6
NTA2020,0,Woodhaven,QN0905,Queens,"41,984",77835,"38,951","25,082",59.7,"5,864",14,"1,806",4.3,0,,"7,471",17.8,0,,819,2,942,2.2,"29,412","8,246",28,"7,689",26.1
NTA2020,0,South Ozone Park,QN1001,Queens,"86,560",89797,"39,135","19,123",22.1,"4,087",4.7,"16,537",19.1,882,1,"28,556",33,107,0.1,"10,772",12.4,"6,496",7.5,"62,083","20,281",32.7,"12,517",20.2
NTA2020,0,Ozone Park,QN1002,Queens,"25,905",77461,"40,769","10,111",39,"4,929",19,"1,560",6,21,0.1,"7,097",27.4,8,0,997,3.8,"1,182",4.6,"17,252","4,585",26.6,"4,538",26.3
NTA2020,0,Howard Beach-Lindenwood,QN1003,Queens,"30,915",84030,"55,769","7,702",24.9,"19,924",64.4,"1,119",3.6,0,,"1,583",5.1,0,,0,,587,1.9,"23,547","7,513",31.9,"6,724",28.6
NTA2020,0,Auburndale,QN1101,Queens,"35,803",76178,"41,998","5,792",16.2,"12,261",34.2,461,1.3,45,0.1,"16,341",45.6,15,0,226,0.6,662,1.8,"26,662","6,553",24.6,"9,782",36.7
NTA2020,0,Bayside,QN1102,Queens,"36,255",98639,"51,494","4,387",12.1,"13,022",35.9,"1,187",3.3,61,0.2,"16,836",46.4,0,,52,0.1,710,2,"27,312","5,722",21,"12,201",44.7
